Skill,Ubicacion_anterior,Ubicacion_final,Estado,Motivo
-21risk-automation,.claude/skills/-21risk-automation,.claude/skill-library-archive/integrations/-21risk-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
-2chat-automation,.claude/skills/-2chat-automation,.claude/skill-library-archive/integrations/-2chat-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
README,.claude/skills/README,.claude/skill-library-archive/unreviewed/README,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
TEMPLATE,.claude/skills/TEMPLATE,.claude/skill-library-archive/unreviewed/TEMPLATE,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
a11y-audit,.claude/skills/a11y-audit,.claude/skill-library-archive/unreviewed/a11y-audit,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ab-test-setup,.claude/skills/ab-test-setup,.claude/skill-library-archive/unreviewed/ab-test-setup,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ably-automation,.claude/skills/ably-automation,.claude/skill-library-archive/integrations/ably-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
abstract-automation,.claude/skills/abstract-automation,.claude/skill-library-archive/integrations/abstract-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
abuselpdb-automation,.claude/skills/abuselpdb-automation,.claude/skill-library-archive/integrations/abuselpdb-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
abyssale-automation,.claude/skills/abyssale-automation,.claude/skill-library-archive/integrations/abyssale-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
academy-guide,.claude/skills/academy-guide,.claude/skill-library-archive/integrations/academy-guide,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
accelo-automation,.claude/skills/accelo-automation,.claude/skill-library-archive/integrations/accelo-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
accessibility-compliance,.claude/skills/accessibility-compliance,.claude/skills/03-frontend/accessibility-compliance,activa,Cumple criterios MVP Trading y reduce ruido contextual.
accessibility-wcag,.claude/skills/accessibility-wcag,.claude/skill-library-archive/integrations/accessibility-wcag,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
accredible-certificates-automation,.claude/skills/accredible-certificates-automation,.claude/skill-library-archive/integrations/accredible-certificates-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
acculynx-automation,.claude/skills/acculynx-automation,.claude/skill-library-archive/integrations/acculynx-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
active-campaign-automation,.claude/skills/active-campaign-automation,.claude/skill-library-archive/marketing/active-campaign-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
ad-creative,.claude/skills/ad-creative,.claude/skill-library-archive/unreviewed/ad-creative,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
adaptyv,.claude/skills/adaptyv,.claude/skill-library-archive/integrations/adaptyv,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
addresszen-automation,.claude/skills/addresszen-automation,.claude/skill-library-archive/integrations/addresszen-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
adobe-automation,.claude/skills/adobe-automation,.claude/skill-library-archive/integrations/adobe-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
adrapid-automation,.claude/skills/adrapid-automation,.claude/skill-library-archive/integrations/adrapid-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
adversarial-reviewer,.claude/skills/adversarial-reviewer,.claude/skill-library-archive/unreviewed/adversarial-reviewer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
adyntel-automation,.claude/skills/adyntel-automation,.claude/skill-library-archive/integrations/adyntel-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
aeo,.claude/skills/aeo,.claude/skill-library-archive/unreviewed/aeo,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
aeon,.claude/skills/aeon,.claude/skill-library-archive/integrations/aeon,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
aero-workflow-automation,.claude/skills/aero-workflow-automation,.claude/skill-library-archive/integrations/aero-workflow-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
aeroleads-automation,.claude/skills/aeroleads-automation,.claude/skill-library-archive/marketing/aeroleads-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
affinda-automation,.claude/skills/affinda-automation,.claude/skill-library-archive/integrations/affinda-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
affinity-automation,.claude/skills/affinity-automation,.claude/skill-library-archive/integrations/affinity-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agencyzoom-automation,.claude/skills/agencyzoom-automation,.claude/skill-library-archive/integrations/agencyzoom-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agent-decision-receipts,.claude/skills/agent-decision-receipts,.claude/skill-library-archive/unreviewed/agent-decision-receipts,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agent-designer,.claude/skills/agent-designer,.claude/skill-library-archive/unreviewed/agent-designer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agent-harness,.claude/skills/agent-harness,.claude/skill-library-archive/unreviewed/agent-harness,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agent-interface-design,.claude/skills/agent-interface-design,.claude/skills/00-core/agent-interface-design,activa,Cumple criterios MVP Trading y reduce ruido contextual.
agent-mail-automation,.claude/skills/agent-mail-automation,.claude/skill-library-archive/integrations/agent-mail-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agent-protocol,.claude/skills/agent-protocol,.claude/skill-library-archive/unreviewed/agent-protocol,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agent-workflow-designer,.claude/skills/agent-workflow-designer,.claude/skill-library-archive/unreviewed/agent-workflow-designer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agenthub,.claude/skills/agenthub,.claude/skill-library-archive/unreviewed/agenthub,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agentkit-seo,.claude/skills/agentkit-seo,.claude/skill-library-archive/marketing/agentkit-seo,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
agentql-automation,.claude/skills/agentql-automation,.claude/skill-library-archive/integrations/agentql-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agenty-automation,.claude/skills/agenty-automation,.claude/skill-library-archive/integrations/agenty-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agile-product-owner,.claude/skills/agile-product-owner,.claude/skill-library-archive/unreviewed/agile-product-owner,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
agiled-automation,.claude/skills/agiled-automation,.claude/skill-library-archive/integrations/agiled-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
agility-cms-automation,.claude/skills/agility-cms-automation,.claude/skill-library-archive/integrations/agility-cms-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ahrefs-automation,.claude/skills/ahrefs-automation,.claude/skill-library-archive/integrations/ahrefs-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ai-act-readiness,.claude/skills/ai-act-readiness,.claude/skill-library-archive/unreviewed/ai-act-readiness,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ai-debt-detector,.claude/skills/ai-debt-detector,.claude/skill-library-archive/integrations/ai-debt-detector,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ai-ml-api-automation,.claude/skills/ai-ml-api-automation,.claude/skill-library-archive/integrations/ai-ml-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ai-security,.claude/skills/ai-security,.claude/skill-library-archive/unreviewed/ai-security,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
aims-audit,.claude/skills/aims-audit,.claude/skill-library-archive/unreviewed/aims-audit,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
airflow-dag-patterns,.claude/skills/airflow-dag-patterns,.claude/skill-library-archive/integrations/airflow-dag-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
aivoov-automation,.claude/skills/aivoov-automation,.claude/skill-library-archive/integrations/aivoov-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
alchemy-automation,.claude/skills/alchemy-automation,.claude/skill-library-archive/integrations/alchemy-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
algodocs-automation,.claude/skills/algodocs-automation,.claude/skill-library-archive/integrations/algodocs-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
algolia-automation,.claude/skills/algolia-automation,.claude/skill-library-archive/integrations/algolia-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
algorithmic-art,.claude/skills/algorithmic-art,.claude/skill-library-archive/integrations/algorithmic-art,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
all-images-ai-automation,.claude/skills/all-images-ai-automation,.claude/skill-library-archive/integrations/all-images-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
alpha-vantage-automation,.claude/skills/alpha-vantage-automation,.claude/skill-library-archive/integrations/alpha-vantage-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
altoviz-automation,.claude/skills/altoviz-automation,.claude/skill-library-archive/integrations/altoviz-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
alttext-ai-automation,.claude/skills/alttext-ai-automation,.claude/skill-library-archive/integrations/alttext-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
amara-automation,.claude/skills/amara-automation,.claude/skill-library-archive/integrations/amara-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
amazon-automation,.claude/skills/amazon-automation,.claude/skill-library-archive/dropshipping/amazon-automation,archivada,Dominio ecommerce/dropshipping fuera del alcance del Trading MVP.
ambee-automation,.claude/skills/ambee-automation,.claude/skill-library-archive/integrations/ambee-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ambient-weather-automation,.claude/skills/ambient-weather-automation,.claude/skill-library-archive/integrations/ambient-weather-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
amcards-automation,.claude/skills/amcards-automation,.claude/skill-library-archive/integrations/amcards-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
analytical-method-validation,.claude/skills/analytical-method-validation,.claude/skill-library-archive/integrations/analytical-method-validation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
analytics-tracking,.claude/skills/analytics-tracking,.claude/skill-library-archive/unreviewed/analytics-tracking,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
anchor-browser-automation,.claude/skills/anchor-browser-automation,.claude/skill-library-archive/integrations/anchor-browser-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
andreessen,.claude/skills/andreessen,.claude/skill-library-archive/unreviewed/andreessen,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
